galaxy,R_kpc,Vobs_kms,e_Vobs_kms,Vbar2_kms2,delta_g_obs,sigma_delta_g,nfw_full_delta_g,nfw_outer_delta_g,iso_full_delta_g,log_full_delta_g,gap_nfw_full,gap_nfw_outer,gap_density_proxy_nfw_outer,is_inner,is_outer
DDO154,2.96,42.0,0.2,304.3928,493.1105405405405,30.33302194966696,428.4916933202686,489.04432890491876,481.35452511320966,427.9158336383831,64.6188472202719,4.066211635621755,616304.4754825793,False,True
DDO154,3.46,44.6,0.2,344.78845,475.25189306358385,29.203853529588304,420.91450987531647,459.5336515829561,463.3652256857932,420.5973971687779,54.33738318826738,15.71824148062774,462645.1435037792,False,True
DDO154,3.95,46.3,0.2,350.95455,453.85707594936696,27.53740075479302,413.7050017029771,433.385517671418,440.9613210507878,413.664193523506,40.15207424638987,20.471558277948986,119649.10003599078,False,True
DDO154,4.44,47.4,0.3,332.12245,431.2246734234233,26.09957085111028,406.70073552838005,409.6251546330258,417.08047381698424,406.95585945573464,24.523937895043275,21.599518790397553,-370017.1735271883,False,True
DDO154,4.94,48.2,0.6,310.36094999999995,407.46539473684214,26.26831270415798,399.7565888229249,387.53350789013786,392.9739204217502,400.3312516757805,7.708805913917217,19.931886846704288,-343259.00978177733,False,True
DDO154,5.43,47.4,0.7,286.48965000000004,361.0074309392265,24.028368839372334,393.142423333743,367.73972949480157,370.47574683742624,394.04509977621325,-32.13499239451653,-6.732298555575085,-58565.00761735866,False,True
DDO154,5.92,45.5,1.3,264.20340000000004,305.0754391891892,26.552919122603655,386.710000285726,349.56925997554424,349.4689800080555,387.95331095779784,-81.6345610965368,-44.49382078635506,75390.70451550731,False,True
DDO161,0.6,16.0,3.53,125.76644999999999,217.0559166666667,189.47149888278418,302.6994687697666,360.0688579279487,52.34230175816708,302.4460090025946,-85.64355210309992,-143.01294126128204,-2314656.1082006325,True,False
DDO161,0.73,16.6,4.83,167.03859999999997,148.65945205479463,220.47510079242832,302.5457081119628,359.0353247774852,63.47861224544594,302.29514090304383,-153.8862560571682,-210.37587272269056,-5074239.296591931,True,False
DDO161,0.85,18.6,2.5,203.07645000000002,168.09829411764707,111.28827744905506,302.40389213576253,358.0857277822118,73.65406172894062,302.1560115727671,-134.30559801811546,-189.98743366456472,-7167698.442366939,True,False
DDO161,0.98,20.0,7.58,253.54889999999997,149.4398979591837,310.06011696918347,302.2503846947582,357.06176868035374,84.54650917441576,302.0054325793263,-152.81048673557453,-207.62187072117004,-14644126.248719046,True,False
DDO161,1.07,21.4,4.03,289.55335,157.3893925233644,162.6142675167219,302.1441873185562,356.35576318859455,91.99818909916902,301.9012734711861,-144.7547947951918,-198.96637066523016,-14933723.643171841,True,False
DDO161,1.54,28.9,2.74,483.4252,228.43168831168825,106.35410131263731,301.5906224542968,352.70679077849974,129.49125271795725,301.3584966583491,-73.15893414260856,-124.27510246681149,-3477114.586033308,True,False
DDO161,2.02,32.9,2.65,661.6908,208.27683168316827,90.38406303200803,301.0270435403052,349.0447396181144,164.79428627592137,300.80618211562086,-92.75021185713695,-140.76790793494615,-2386189.541504168,True,False
DDO161,2.49,35.2,2.88,797.22165,177.43708835341374,85.1428580125428,300.47692540451834,345.52065502883534,195.9011976099496,300.2673322933419,-123.0398370511046,-168.0835666754216,-1748286.5051808269,True,False
DDO161,2.96,37.6,3.05,880.2184500000001,180.2505236486487,81.08305384987433,299.92850121571473,342.05611904353174,223.26744271973885,299.7304095586217,-119.67797756706602,-161.80559539488303,-1139668.406916323,True,False
DDO161,3.43,40.6,3.68,926.2329,210.53268221574348,90.37135704466392,299.3817635660949,338.6497117493515,246.77735855143777,299.1954035921536,-88.84908135035141,-128.11702953360805,-364741.80956103466,True,False
