galaxy,fit_status,n_points,Q,Inc_deg,Rdisk_kpc,Vflat_kms,Rmax_kpc,radial_break_kpc,n_inner,n_outer,quality_primary,upsilon_disk,upsilon_bulge,nfw_full_success,nfw_full_params,nfw_full_weighted_mse,nfw_full_relative_rmse,nfw_full_mean_abs_fractional_error,nfw_outer_success,nfw_outer_params,nfw_outer_fit_weighted_mse,nfw_outer_full_weighted_mse,nfw_outer_relative_rmse,nfw_outer_mean_abs_fractional_error,iso_full_success,iso_full_params,iso_full_weighted_mse,iso_full_relative_rmse,iso_full_mean_abs_fractional_error,log_full_success,log_full_params,log_full_weighted_mse,log_full_relative_rmse,log_full_mean_abs_fractional_error,iso_beats_nfw_full,log_beats_nfw_full,inner_gap_mean_norm_after_outer_nfw,inner_gap_negative_fraction_after_outer_nfw,central_overshoot_after_outer_nfw,inner_gap_density_mean,inner_gap_density_negative_fraction,nfw_full_outer_slope_mean,nfw_outer_outer_slope_mean,target_outer_slope_mean,nfw_full_shallow_outer,skip_reason
ESO116-G012,ok,15,1.0,74.0,1.51,109.1,9.86,3.3220000000000005,6.0,9.0,True,0.5,0.7,True,"{""nfw_amp"": 3555009.760469873, ""nfw_r_s_kpc"": 32.82876804907858}",1.3307591016487474,0.2010972603477228,0.1660295781795613,True,"{""nfw_outer_amp"": 543854.2989397539, ""nfw_outer_r_s_kpc"": 10.022317414313969}",0.3033872797701547,4.36328659161881,0.46771818968198303,0.3351203737251114,True,"{""iso_v0_kms"": 107.63173683376779, ""iso_r_c_kpc"": 3.4797496205143577}",0.5112745842673256,0.20225678281072984,0.12597862950249356,True,"{""log_amp"": 39189.208019170925, ""log_r0_kpc"": 23.824047107817414}",1.3521428645863909,0.20082755033884225,0.16670011086682598,True,False,-0.6797263066165374,1.0,True,11358485.05427739,0.5,-0.22838513057676144,-0.5480834660903133,-0.29155315561066253,True,
ESO444-G084,ok,7,2.0,32.0,0.46,0.0,4.44,1.3419999999999999,3.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 646891.1987677776, ""nfw_r_s_kpc"": 15.0967748387488}",0.43687626842059724,0.13418141818532942,0.11137294873406915,True,"{""nfw_outer_amp"": 200143.69626203022, ""nfw_outer_r_s_kpc"": 7.582959162476746}",0.07838355000917145,0.8655018554405821,0.202842993719128,0.13435812749031978,True,"{""iso_v0_kms"": 62.311771343627804, ""iso_r_c_kpc"": 1.3035169210245527}",0.854830517239593,0.16515328238567342,0.09901317691813386,True,"{""log_amp"": 15540.215593754572, ""log_r0_kpc"": 10.96388663175215}",0.4490658013731326,0.13512523592783643,0.11281483072703569,False,False,-0.19171936691159547,0.6666666666666666,False,-13549802.142974524,0.3333333333333333,-0.2209198016011149,-0.3799526275067573,-0.5958540583145646,True,
ESO563-G021,ok,30,1.0,83.0,5.45,314.6,42.41,11.990000000000002,11.0,19.0,True,0.5,0.7,True,"{""nfw_amp"": 225664823.68488565, ""nfw_r_s_kpc"": 203.2816481443111}",15.049712242536893,0.6641604690216942,0.46792991133934286,True,"{""nfw_outer_amp"": 7976280.231728621, ""nfw_outer_r_s_kpc"": 23.117345502801072}",0.30300279054141604,35.3962971321648,0.9664530982186386,0.6530531489294596,True,"{""iso_v0_kms"": 284.9386171845096, ""iso_r_c_kpc"": 9.947255885232204}",6.859942010566437,0.4311172843349894,0.3031165728014332,True,"{""log_amp"": 418480.7070436763, ""log_r0_kpc"": 154.31976859603415}",15.06858576257886,0.6642349554719391,0.4684534296953448,True,False,-0.7757510425460835,0.6363636363636364,False,17501125.32143757,0.36363636363636365,-0.15680490812459338,-0.7437524382342949,-0.7654531765295818,True,
F561-1,ok,6,3.0,24.0,2.79,50.0,9.66,6.138000000000001,3.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 13822.490708273228, ""nfw_r_s_kpc"": 3.699687495942874}",0.3063605624776105,0.6560354702337661,0.8411100499450866,True,"{""nfw_outer_amp"": 1264.0528043801899, ""nfw_outer_r_s_kpc"": 0.03000000000000005}",0.04944512704331518,4.27396575439293,3.621349309867344,3.606172556109897,True,"{""iso_v0_kms"": 29.91473965407772, ""iso_r_c_kpc"": 1.879173983555694}",0.2782793227018218,0.4883792573377601,0.692432776630306,True,"{""log_amp"": 1015.1551873148977, ""log_r0_kpc"": 1.8209084869410077}",0.3511095717011681,0.6372822484318261,0.8464405179256644,True,False,-2.6747809292932274,1.0,True,372616.5014540395,0.0,-0.9497634417503296,-1.7771119744863668,-2.3237345409583896,False,
F563-1,ok,17,1.0,25.0,3.52,109.9,20.1,7.744000000000001,7.0,10.0,False,0.5,0.7,True,"{""nfw_amp"": 2270956.5157540054, ""nfw_r_s_kpc"": 30.950333747333197}",1.1299455398155154,0.42032790145193827,0.34087619003922526,True,"{""nfw_outer_amp"": 695730.8100395862, ""nfw_outer_r_s_kpc"": 13.301514043335727}",0.0780830401462482,1.845149713496059,0.42039415851566486,0.4473328713058755,True,"{""iso_v0_kms"": 105.7085521956666, ""iso_r_c_kpc"": 3.923786933055881}",0.42911104713184567,0.2739904902104629,0.21284431506646934,True,"{""log_amp"": 25283.333790993092, ""log_r0_kpc"": 21.472823413151755}",1.1523221694155636,0.42468730784682224,0.3455998745980722,True,False,-0.09112243500691058,0.5714285714285714,False,5659922.490943877,0.14285714285714285,-0.4137860574167432,-0.7007625503021014,-2.452192721856515,True,
F563-V1,ok,6,3.0,60.0,3.79,0.0,7.87,5.895,4.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 4167.353294053979, ""nfw_r_s_kpc"": 4.132922381236096}",0.16765817595247612,0.4493237382994811,0.7096304677913453,True,"{""nfw_outer_amp"": 314.53105936878006, ""nfw_outer_r_s_kpc"": 0.03000000000000001}",0.05973802931469421,4.537380153818274,3.1589312870636514,2.1655661758249463,True,"{""iso_v0_kms"": 15.701580022054923, ""iso_r_c_kpc"": 1.7177480302926011}",0.14523188417133742,0.3765799886698709,0.6934373577092487,True,"{""log_amp"": 297.5231678928784, ""log_r0_kpc"": 2.3787942549858956}",0.1798619289072428,0.4559212825518239,0.7382795855720176,True,False,-1.7577477538248976,0.5,False,34969.90027030899,0.25,-0.8301050020082477,-1.7667707816148355,-4.262237973329592,False,
F563-V2,ok,10,1.0,29.0,2.43,116.6,10.47,5.346000000000001,6.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 35731248.72154127, ""nfw_r_s_kpc"": 102.34287785724452}",1.1446710278455732,0.43840023865668837,0.5681783240323977,True,"{""nfw_outer_amp"": 230127.62944119997, ""nfw_outer_r_s_kpc"": 4.33756567804607}",0.0005086818206532251,10.091227078732503,1.0921573742926343,1.6384391506486704,True,"{""iso_v0_kms"": 116.60821508897384, ""iso_r_c_kpc"": 2.6532297076195364}",0.1339799021723845,0.15845319836519114,0.1379883567376146,True,"{""log_amp"": 134550.5369181486, ""log_r0_kpc"": 79.13163413420338}",1.1454793995973724,0.43890960224680464,0.5681784453037618,True,False,-0.8377517124289416,0.8333333333333334,True,22518444.620762218,0.0,-0.1120057690770686,-0.9938660029522968,-1.0003321523200306,True,
F565-V2,ok,7,2.0,60.0,2.17,0.0,8.8,4.774,3.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 141179015389.1511, ""nfw_r_s_kpc"": 9999.999999835962}",0.3293215905731916,0.26077931346203453,0.28954098446274124,True,"{""nfw_outer_amp"": 847960.3905304678, ""nfw_outer_r_s_kpc"": 19.51469543110856}",0.005215697949745225,0.8947098150898652,0.46848390244402255,0.48447355249896834,True,"{""iso_v0_kms"": 89.29152509396933, ""iso_r_c_kpc"": 5.119911456323128}",0.029706729513796354,0.06572670516488961,0.07159133234827429,True,"{""log_amp"": 7057382.808327488, ""log_r0_kpc"": 9999.99999999999}",0.3292437371941156,0.2607113402536769,0.2894811100658363,True,True,-0.7194996602897963,1.0,True,1499665.780652606,0.0,-0.0009234741866919194,-0.35555340510009614,-0.25846565794039567,True,
F567-2,skipped,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,too few points or zero residual scale
F568-1,ok,12,1.0,26.0,5.18,0.0,13.23,8.103,8.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 45264445.31234117, ""nfw_r_s_kpc"": 112.28787220573886}",0.909703084195491,0.3290158804469216,0.4699584298590714,True,"{""nfw_outer_amp"": 1094336.8844328597, ""nfw_outer_r_s_kpc"": 12.965878822543935}",0.001036161168640186,2.21689606808294,0.5154663038510999,0.7482621219546967,True,"{""iso_v0_kms"": 130.80236830587546, ""iso_r_c_kpc"": 3.7243543448188454}",0.055267647872129434,0.07779760367675333,0.08452584864160666,True,"{""log_amp"": 154091.48277317733, ""log_r0_kpc"": 86.11597804499291}",0.9107671808885351,0.32904687119607046,0.46956560562564675,True,False,-0.2642968704638078,0.5,False,4538226.294680454,0.125,-0.11180047317767383,-0.6128059570577276,-0.6254670216561438,True,
