galaxy,fit_status,n_points,Q,Inc_deg,Rdisk_kpc,Vflat_kms,Rmax_kpc,radial_break_kpc,n_inner,n_outer,quality_primary,upsilon_disk,upsilon_bulge,nfw_full_success,nfw_full_params,nfw_full_weighted_mse,nfw_full_relative_rmse,nfw_full_mean_abs_fractional_error,nfw_outer_success,nfw_outer_params,nfw_outer_fit_weighted_mse,nfw_outer_full_weighted_mse,nfw_outer_relative_rmse,nfw_outer_mean_abs_fractional_error,iso_full_success,iso_full_params,iso_full_weighted_mse,iso_full_relative_rmse,iso_full_mean_abs_fractional_error,log_full_success,log_full_params,log_full_weighted_mse,log_full_relative_rmse,log_full_mean_abs_fractional_error,iso_beats_nfw_full,log_beats_nfw_full,inner_gap_mean_norm_after_outer_nfw,inner_gap_negative_fraction_after_outer_nfw,central_overshoot_after_outer_nfw,inner_gap_density_mean,inner_gap_density_negative_fraction,nfw_full_outer_slope_mean,nfw_outer_outer_slope_mean,target_outer_slope_mean,nfw_full_shallow_outer,skip_reason
IC4202,ok,32,1.0,90.0,4.78,242.6,25.9,10.516000000000002,13.0,19.0,True,0.5,0.7,True,"{""nfw_amp"": 255066402714.97345, ""nfw_r_s_kpc"": 9999.999991617096}",92.54977361639581,0.9676031153468446,0.584202679742861,True,"{""nfw_outer_amp"": 5267710.413456653, ""nfw_outer_r_s_kpc"": 27.236920319041488}",0.12670535776876649,114.14153640218674,1.0850215509041305,0.6031584133015443,True,"{""iso_v0_kms"": 220.92298027049844, ""iso_r_c_kpc"": 12.010751452988693}",77.9838869918692,0.8894781656842603,0.38057956106610236,True,"{""log_amp"": 12748499.18323713, ""log_r0_kpc"": 9999.99999999999}",92.54357784683422,0.9675757661594625,0.5840642957188175,True,True,-0.49611456045164554,0.38461538461538464,False,11830179.010527281,0.23076923076923078,-0.0023702421497200014,-0.5416567644299582,-0.19085973919777308,True,
KK98-251,ok,15,2.0,59.0,1.34,33.7,3.13,1.8559999999999997,10.0,5.0,True,0.5,0.7,True,"{""nfw_amp"": 40572241534.907936, ""nfw_r_s_kpc"": 9999.999994216492}",1.8013203815864753,0.4102883467304865,0.6818359049098389,True,"{""nfw_outer_amp"": 23375.49151875295, ""nfw_outer_r_s_kpc"": 4.778145543974558}",0.046387360170505244,11.333778612033397,1.0578242719972202,1.904262605146953,True,"{""iso_v0_kms"": 41.47585103210423, ""iso_r_c_kpc"": 3.0448606172666044}",0.19937853644701584,0.1359278684382929,0.09829842124899564,True,"{""log_amp"": 2028522.6365769294, ""log_r0_kpc"": 9999.999735214042}",1.8010986758671221,0.4102658201207255,0.6818003480592247,True,True,-1.610191386313168,1.0,True,-4565314.9759990815,0.7,-0.0003290019975217717,-0.4665478182326549,-0.10024879490753627,True,
NGC0024,ok,29,1.0,64.0,1.34,106.3,11.27,2.296,20.0,9.0,True,0.5,0.7,True,"{""nfw_amp"": 227368.75250304295, ""nfw_r_s_kpc"": 4.822714530993838}",1.087496453152792,0.3340210223859662,0.4479127839004187,True,"{""nfw_outer_amp"": 152165.46442984763, ""nfw_outer_r_s_kpc"": 3.3363806142143506}",0.43759065183715656,1.737232141966664,0.4654063396186246,0.5536214448379265,True,"{""iso_v0_kms"": 99.40112225264762, ""iso_r_c_kpc"": 1.161138874581319}",0.1749228614516237,0.10807139044277864,0.1266599211938066,True,"{""log_amp"": 13379.189934629148, ""log_r0_kpc"": 2.6203666541559834}",1.2535592383976555,0.3554525024160476,0.47875730178302084,True,False,-0.26703922587195555,0.85,True,776301.989568313,0.4,-0.6855931951545321,-0.8154932396723868,-0.5965421059063433,True,
NGC0055,ok,21,2.0,77.0,6.11,85.6,13.5,9.82,15.0,7.0,True,0.5,0.7,True,"{""nfw_amp"": 93455006146.60753, ""nfw_r_s_kpc"": 9999.999999997948}",1.5280993130499652,0.22196616196369562,0.22999969021417394,True,"{""nfw_outer_amp"": 267427.5301128192, ""nfw_outer_r_s_kpc"": 10.330450546024021}",0.01653344196350062,11.925290987464976,0.6788955381898033,0.5945233034918689,True,"{""iso_v0_kms"": 84.04647833245346, ""iso_r_c_kpc"": 6.490414596379402}",0.2076233833756436,0.07250477440593883,0.06631597302721164,True,"{""log_amp"": 4671503.316610999, ""log_r0_kpc"": 9999.99999999999}",1.5279872090422186,0.2219331329295716,0.22999693951740147,True,True,-0.5135297252575544,0.8,True,-375794.28409876913,0.5333333333333333,-0.0015536324251428368,-0.7500776980043621,-1.016016499868362,True,
NGC0100,ok,21,1.0,89.0,1.66,88.1,9.62,3.652,8.0,13.0,True,0.5,0.7,True,"{""nfw_amp"": 155425663992.02643, ""nfw_r_s_kpc"": 9999.999928820058}",0.7977397229486117,0.3238578947500301,1.2619354350693623,True,"{""nfw_outer_amp"": 999381.2821942597, ""nfw_outer_r_s_kpc"": 20.43431555747706}",0.023945698799623653,2.0446346742295125,0.5302031826459368,1.9526971101563613,True,"{""iso_v0_kms"": 89.9356508496214, ""iso_r_c_kpc"": 4.490078763114993}",0.05741832598750225,0.061004825856757046,0.1764855093951123,True,"{""log_amp"": 7769790.782864255, ""log_r0_kpc"": 9999.99999999999}",0.797583993749224,0.3237991310818788,1.2617228783746683,True,True,-0.8724116928758939,1.0,True,-1324164.0222300193,0.5,-0.0009137672024554724,-0.338501069901908,-0.2670245155464279,True,
NGC0247,ok,26,2.0,74.0,3.74,104.9,14.54,8.228000000000002,14.0,12.0,True,0.5,0.7,True,"{""nfw_amp"": 1426194.0986781083, ""nfw_r_s_kpc"": 25.136047025006462}",0.8328400199061181,0.12397266843933435,0.07128758035012886,True,"{""nfw_outer_amp"": 2659951.0656218124, ""nfw_outer_r_s_kpc"": 36.44918515060645}",0.00902357930345998,1.0662962520383,0.14581756397067672,0.06634004950263986,True,"{""iso_v0_kms"": 79.17109910965833, ""iso_r_c_kpc"": 2.702032099013224}",1.5390400875496661,0.17078555237450813,0.16982714648275427,True,"{""log_amp"": 19466.230988686217, ""log_r0_kpc"": 17.08454575563016}",0.8349022865487398,0.1235663707212483,0.06838428598014945,False,False,0.06895110495832532,0.5714285714285714,False,82251.742651301,0.5714285714285714,-0.4315615120785565,-0.3274029679036398,-0.4603477054970391,True,
NGC0289,ok,28,2.0,46.0,6.74,163.0,71.12,18.0215,10.0,18.0,True,0.5,0.7,True,"{""nfw_amp"": 2331650.0971936616, ""nfw_r_s_kpc"": 22.458224696228676}",1.0124526290848452,0.5916294837401356,0.19193464771359053,True,"{""nfw_outer_amp"": 4082873.2866366412, ""nfw_outer_r_s_kpc"": 36.677275991351344}",0.7186321271832674,1.4197884832240428,0.6863009617318251,0.20967158223795312,True,"{""iso_v0_kms"": 149.06521056616856, ""iso_r_c_kpc"": 6.784280593271956}",1.0782017030363977,0.7626407080748212,0.2214356994329716,True,"{""log_amp"": 25594.421018406374, ""log_r0_kpc"": 6.80734718703189}",0.9562053611786012,0.4868929076814377,0.21264370141164265,False,True,0.3936738634834794,0.2,False,4122069.2305120975,0.5,-0.9464673792559881,-0.7635232753609247,-0.9555883777273356,False,
NGC0300,ok,25,2.0,42.0,1.75,93.3,11.8,4.72,9.0,16.0,True,0.5,0.7,True,"{""nfw_amp"": 1175250.8954132148, ""nfw_r_s_kpc"": 21.26344343053075}",0.5072729518366201,0.1827239558362437,0.11361153848593236,True,"{""nfw_outer_amp"": 831204.930148444, ""nfw_outer_r_s_kpc"": 17.135927880817032}",0.10749231178221116,0.5520685343685998,0.1918627473137568,0.11914642030459759,True,"{""iso_v0_kms"": 90.37759989762941, ""iso_r_c_kpc"": 3.3746174831155984}",0.34954710851982,0.11205172791571719,0.08123924181168285,True,"{""log_amp"": 18846.050857416434, ""log_r0_kpc"": 14.37436069475821}",0.5215972089626395,0.18499739591337602,0.11528493780793213,True,False,-0.018745109528283278,0.5555555555555556,False,1269514.6165088913,0.3333333333333333,-0.38346239384689484,-0.4473434879189533,-0.5922586057129924,True,
NGC0801,ok,13,1.0,80.0,8.72,220.1,59.82,19.184000000000005,7.0,6.0,True,0.5,0.7,True,"{""nfw_amp"": 2744223.255716549, ""nfw_r_s_kpc"": 23.82099747436196}",3.1831593554810693,0.7912811236968506,0.5981310448464379,True,"{""nfw_outer_amp"": 8362246.234641247, ""nfw_outer_r_s_kpc"": 57.037655514860326}",0.05500183716130641,3.675623797222452,0.8489004478600353,0.5314234310888006,True,"{""iso_v0_kms"": 151.2256731696424, ""iso_r_c_kpc"": 3.492816481873967}",2.714302534206152,0.6874809599167611,0.6003497126803122,True,"{""log_amp"": 31424.63185523927, ""log_r0_kpc"": 10.959580765506026}",3.0886547971874725,0.7882186328583156,0.6098733638864244,True,True,0.34925720060321963,0.2857142857142857,False,35650874.55151084,0.42857142857142855,-0.9077310570279421,-0.5830380773595314,-0.6452953962826316,False,
NGC0891,ok,18,1.0,90.0,2.55,216.1,17.11,6.913499999999999,6.0,12.0,True,0.5,0.7,True,"{""nfw_amp"": 258301053376.45383, ""nfw_r_s_kpc"": 9999.999999959437}",9.334222860439093,1.084893458136537,0.7029576656317914,True,"{""nfw_outer_amp"": 42036082.56915388, ""nfw_outer_r_s_kpc"": 113.24375866196472}",0.5950232917088436,10.007237229994523,1.1181000891663337,0.7718205027287356,True,"{""iso_v0_kms"": 225.20379254718227, ""iso_r_c_kpc"": 17.649550819564716}",7.427960762293345,0.9993856690951209,0.5777891691167839,True,"{""log_amp"": 12909659.448780667, ""log_r0_kpc"": 9999.99999999999}",9.333100029910618,1.084847750024121,0.7028724336753894,True,True,-0.8606894572366669,0.8333333333333334,True,16821550.156068407,0.3333333333333333,-0.0016072145422194595,-0.12874965475142877,0.5412516238137917,True,
NGC1003,ok,36,1.0,67.0,1.61,109.8,30.24,11.4025,13.0,23.0,True,0.5,0.7,True,"{""nfw_amp"": 1690967.619799415, ""nfw_r_s_kpc"": 29.341463101333442}",1.0001754681755894,0.192803607620898,0.10607996971116392,True,"{""nfw_outer_amp"": 3322547.368780795, ""nfw_outer_r_s_kpc"": 46.62001038722997}",0.24117153542787506,1.5364125659241863,0.20085227660698418,0.09892761713188207,True,"{""iso_v0_kms"": 104.31703590309058, ""iso_r_c_kpc"": 7.194366735801946}",1.7505705495424158,0.17909861718203754,0.12559761341411657,True,"{""log_amp"": 17521.077304478225, ""log_r0_kpc"": 16.47856846745462}",0.9589001703902268,0.2088128408253122,0.11265622007834547,False,True,0.14961270590704212,0.15384615384615385,False,810285.9292799291,0.38461538461538464,-0.5745665465649248,-0.42315629616965883,-0.4713351333944665,True,
NGC1090,ok,24,1.0,64.0,3.53,164.4,30.09,10.415499999999998,9.0,15.0,True,0.5,0.7,True,"{""nfw_amp"": 2276314.3649507444, ""nfw_r_s_kpc"": 25.073260603809434}",2.017259256495821,0.8732443692269534,1.347841709915599,True,"{""nfw_outer_amp"": 1406348.2874080373, ""nfw_outer_r_s_kpc"": 17.133394375814166}",0.1688682183052517,2.317594087339811,0.9976923714259358,1.6690337676369886,True,"{""iso_v0_kms"": 134.1659457117799, ""iso_r_c_kpc"": 5.57234242911247}",0.7986938503364781,0.5202708966427029,0.7043813485201196,True,"{""log_amp"": 28586.065340013247, ""log_r0_kpc"": 15.617492987135106}",2.1569284465358156,0.8781788363323448,1.3540380014445255,True,False,-0.559768508536927,0.5555555555555556,False,-79576860.8741335,0.2222222222222222,-0.6324142588152702,-0.7746160748559459,-0.8123581945591772,True,
NGC1705,ok,14,3.0,80.0,0.39,71.9,6.0,2.2475,5.0,9.0,False,0.5,0.7,True,"{""nfw_amp"": 30556.4394792387, ""nfw_r_s_kpc"": 1.4261085381540297}",0.08468151928752239,0.22966761280448003,0.06128728690040753,True,"{""nfw_outer_amp"": 42478.483457904775, ""nfw_outer_r_s_kpc"": 1.9679760037277798}",0.013621437073554692,0.21311326203266298,0.3569381174415736,0.07295798649978072,True,"{""iso_v0_kms"": 67.36349646725314, ""iso_r_c_kpc"": 0.3262911805583009}",0.1228347442143017,0.24092293458425468,0.06617970506473127,True,"{""log_amp"": 5111.491916736235, ""log_r0_kpc"": 0.37255798125508227}",0.04310883537416744,0.0799795333658312,0.03268483872015009,False,True,0.22048200357698483,0.0,False,-7831464.7912677005,0.6,-1.094163567866819,-0.980084981209591,-0.9745053836995498,False,
NGC2366,ok,26,3.0,68.0,0.65,50.2,6.06,2.1999999999999997,9.0,17.0,False,0.5,0.7,True,"{""nfw_amp"": 83072246044.50758, ""nfw_r_s_kpc"": 9999.999999994963}",3.098381197377404,0.3734914342932717,0.6676592590210528,True,"{""nfw_outer_amp"": 42022.03291416364, ""nfw_outer_r_s_kpc"": 4.417964602096541}",0.3689459021338316,13.982154655405356,0.8740895118875828,1.5019877269317878,True,"{""iso_v0_kms"": 50.731736385964304, ""iso_r_c_kpc"": 2.57205561047591}",0.6629424433608995,0.1614592776913912,0.22640439945445623,True,"{""log_amp"": 4153147.4955546143, ""log_r0_kpc"": 9999.999999990221}",3.0982275626497775,0.3734746864947043,0.6676203968955519,True,True,-1.6538506185606636,1.0,True,-17613420.666310124,0.6666666666666666,-0.0005547302397709874,-0.6696580525724923,-0.7379840986108808,True,
NGC2403,ok,73,1.0,63.0,1.39,131.2,20.87,3.058,29.0,44.0,True,0.5,0.7,True,"{""nfw_amp"": 1087989.7076019233, ""nfw_r_s_kpc"": 14.782708813447151}",1.2166710748060086,0.18034546445665053,0.1076908409046944,True,"{""nfw_outer_amp"": 1096916.222175798, ""nfw_outer_r_s_kpc"": 14.808790734595142}",0.527442444424046,1.219546621020843,0.17965095621460273,0.10779575381434177,True,"{""iso_v0_kms"": 117.20909838341466, ""iso_r_c_kpc"": 3.178339315813103}",5.077307129446817,0.46061274371871475,0.24237320544067337,True,"{""log_amp"": 22557.161938846708, ""log_r0_kpc"": 8.622883383064467}",1.2077414538760691,0.1738740530324007,0.10888672449993263,False,True,0.039055274017602185,0.4482758620689655,False,6719993.019273621,0.5862068965517241,-0.5413815277745772,-0.5408123276088436,-0.32266554564147837,True,
NGC2683,ok,11,2.0,80.0,2.18,154.0,34.62,12.985,4.0,7.0,True,0.5,0.7,True,"{""nfw_amp"": 606004.4236662742, ""nfw_r_s_kpc"": 6.757447861512388}",0.5497619829946593,0.189906831992618,0.13507836319153857,True,"{""nfw_outer_amp"": 778951.0544387436, ""nfw_outer_r_s_kpc"": 9.272466672132355}",0.6151179420414209,0.8201704547397004,0.15005579814315326,0.127324825978579,True,"{""iso_v0_kms"": 138.0188445626818, ""iso_r_c_kpc"": 2.480485336778769}",0.6410988311291804,0.154093089384669,0.13269803760088064,True,"{""log_amp"": 19892.1548129452, ""log_r0_kpc"": 1.393428910961202}",0.7810417225624032,0.28312875587878455,0.1595537638392441,False,False,0.12255077309973259,0.0,False,1075451.3422924832,0.25,-1.1567781580299619,-1.0499235775143363,-1.3683700740743272,False,
NGC2841,ok,50,1.0,76.0,3.64,284.8,63.64,9.294,18.0,32.0,True,0.5,0.7,True,"{""nfw_amp"": 3241754.7771867136, ""nfw_r_s_kpc"": 10.465986024060781}",0.417507404719649,0.07498746787966817,0.0628845139620248,True,"{""nfw_outer_amp"": 3927319.4517407464, ""nfw_outer_r_s_kpc"": 12.843695638431914}",0.4425731652440906,0.6527814397268483,0.1436970070773468,0.09676097883198748,True,"{""iso_v0_kms"": 254.38930381398364, ""iso_r_c_kpc"": 3.151398560225497}",0.13891103251978648,0.06082027639139505,0.03760725683627595,True,"{""log_amp"": 69158.4275043676, ""log_r0_kpc"": 2.269936716017511}",0.21712040870660293,0.11823544864038692,0.052023272637203855,True,True,0.13860041031285805,0.05555555555555555,False,4484979.805905266,0.3333333333333333,-1.0550872243642393,-0.9854920209914911,-0.7948742426519965,False,
NGC2903,ok,34,1.0,66.0,2.33,184.6,24.96,5.126,13.0,21.0,True,0.5,0.7,True,"{""nfw_amp"": 1088952060.1188474, ""nfw_r_s_kpc"": 619.8741411367466}",28.989613302978746,1.0251388705210591,0.6076357753414289,True,"{""nfw_outer_amp"": 2450170.1309243524, ""nfw_outer_r_s_kpc"": 19.528973966639487}",0.12358044227489334,31.246870953222796,1.067766731543674,0.8821257202703005,True,"{""iso_v0_kms"": 171.9371829869996, ""iso_r_c_kpc"": 8.009233190176392}",26.573405327152145,0.9967532977068295,0.4377717100732627,True,"{""log_amp"": 705582.4897076864, ""log_r0_kpc"": 499.0759429399672}",28.98988210436959,1.0250660304308765,0.6074081604961785,True,False,-0.5089484098195939,0.8461538461538461,True,1724855.5521132783,0.5384615384615384,-0.03222796638146653,-0.5941861318708896,-0.6513340840950813,True,
NGC2915,ok,30,2.0,56.0,0.55,83.5,10.04,3.7309999999999994,11.0,19.0,True,0.5,0.7,True,"{""nfw_amp"": 368358.18936044065, ""nfw_r_s_kpc"": 10.039350295566075}",1.7417597257639454,0.7346607528064881,1.1578017303838757,True,"{""nfw_outer_amp"": 119501.22980062357, ""nfw_outer_r_s_kpc"": 4.066386873896251}",0.1403993166901857,2.5595781288215296,1.0163853143795976,1.807535503572096,True,"{""iso_v0_kms"": 83.4635577493981, ""iso_r_c_kpc"": 2.129080066330985}",0.8520465459589158,0.5141316692840897,0.8552038209205726,True,"{""log_amp"": 12173.977030810476, ""log_r0_kpc"": 6.780355032616463}",1.7993243654386322,0.7314817177281199,1.1423364144706334,True,False,-0.6482806237581799,0.5454545454545454,False,8218869.6308309,0.2727272727272727,-0.5644652990790874,-0.9009506742269671,-0.7429653866452332,True,
NGC2955,ok,24,1.0,56.0,18.76,0.0,35.43,14.440999999999994,17.0,7.0,True,0.5,0.7,True,"{""nfw_amp"": 16297191.30057797, ""nfw_r_s_kpc"": 71.50319799497633}",2.0749788669530864,0.7748623326231409,1.8281038866414463,True,"{""nfw_outer_amp"": 673194.3318713418, ""nfw_outer_r_s_kpc"": 4.050446987784813}",0.06483922950204966,21.356877098267187,1.6131739755733019,7.614069594778717,True,"{""iso_v0_kms"": 192.94506858579203, ""iso_r_c_kpc"": 13.349188527381806}",2.003545320981971,0.8924528400632029,1.445757534592487,True,"{""log_amp"": 79872.25040056309, ""log_r0_kpc"": 50.17544407251755}",2.083867503217462,0.775060211308509,1.8196314852118836,True,False,-1.4293703746745463,1.0,True,-12508120.49975633,0.5882352941176471,-0.3529866653526665,-1.324110549982933,-1.4371419144061937,True,
NGC2976,ok,27,2.0,61.0,1.01,85.4,2.27,1.364,19.0,8.0,True,0.5,0.7,True,"{""nfw_amp"": 208351377253.39557, ""nfw_r_s_kpc"": 9999.999892744987}",1.9637738153889397,0.4789255024941256,1.40539657549822,True,"{""nfw_outer_amp"": 321257584966.62146, ""nfw_outer_r_s_kpc"": 9999.999999991447}",0.1362530861389013,4.393019398801114,0.6640667398623415,2.1528205918481005,True,"{""iso_v0_kms"": 102.48647171565203, ""iso_r_c_kpc"": 2.851088163388685}",0.2581470214797141,0.1684936940365854,0.44472305540798435,True,"{""log_amp"": 10417312.54390606, ""log_r0_kpc"": 9999.99999999999}",1.963649935800642,0.47890994373332174,1.4053673503087576,True,True,-0.7902180496468252,0.9473684210526315,True,-30903394.685381606,0.7368421052631579,-0.00023571094858843011,-0.00023571094892771427,-0.2714942387985473,True,
NGC2998,ok,13,1.0,58.0,6.2,209.9,42.28,13.640000000000002,7.0,6.0,True,0.5,0.7,True,"{""nfw_amp"": 832249.7227067435, ""nfw_r_s_kpc"": 6.993979731542563}",0.8057304117535048,0.5287079563630025,0.2418924682898924,True,"{""nfw_outer_amp"": 4154725.694894054, ""nfw_outer_r_s_kpc"": 28.13136651077205}",0.023666331897545693,1.68597102759432,0.8173067423113564,0.31471843524239923,True,"{""iso_v0_kms"": 154.11069005805277, ""iso_r_c_kpc"": 1.1468903921264078}",0.6107082089633253,0.5955379520576655,0.19887107917149915,True,"{""log_amp"": 26590.425026511355, ""log_r0_kpc"": 1.4479497023522345}",0.30218844216368973,0.2512298172615985,0.14026543767691407,True,True,0.5787250434367158,0.0,False,167490884.11851105,0.2857142857142857,-1.2108700254795863,-0.7145616025528453,-1.0057039020348644,False,
NGC3109,ok,25,1.0,70.0,1.56,66.2,6.45,3.4320000000000004,13.0,12.0,True,0.5,0.7,True,"{""nfw_amp"": 93930248706.28238, ""nfw_r_s_kpc"": 9999.999999992371}",8.09742448450889,0.3317588900109423,0.45078594684558626,True,"{""nfw_outer_amp"": 10880963.065155307, ""nfw_outer_r_s_kpc"": 86.9124607454659}",0.05400836214847,19.32163094275178,0.3832416070267631,0.5366858722900434,True,"{""iso_v0_kms"": 75.79284419019734, ""iso_r_c_kpc"": 4.167398755686929}",0.16043359813177754,0.050114737839850994,0.060452569406869425,True,"{""log_amp"": 4696205.892779847, ""log_r0_kpc"": 9999.99999999951}",8.095038997234651,0.3317067379651565,0.45072721225523865,True,True,-0.4747230475926165,1.0,True,-3091885.204402066,0.38461538461538464,-0.0006704818618885611,-0.07318949860042483,-0.06652741995906968,True,
NGC3198,ok,43,1.0,73.0,3.14,150.1,44.08,6.908000000000001,21.0,22.0,True,0.5,0.7,True,"{""nfw_amp"": 1424607.4611927115, ""nfw_r_s_kpc"": 17.200958328492106}",0.6954249484961444,0.9560066497349745,1.0091471225078588,True,"{""nfw_outer_amp"": 1118771.5682983682, ""nfw_outer_r_s_kpc"": 13.81592881326175}",0.19225941854290376,1.1249635886414504,1.0701385351813344,1.230196826859516,True,"{""iso_v0_kms"": 133.61726129435385, ""iso_r_c_kpc"": 5.211177389850961}",0.26870397838224047,0.5747754703210288,0.4012480938037777,True,"{""log_amp"": 22875.256123475694, ""log_r0_kpc"": 8.402046884388731}",1.026161608260405,1.0086354575768082,1.105092743755831,True,False,-0.712611373448387,1.0,True,-5062002.720900101,0.6190476190476191,-0.7775727772570569,-0.8569596733201532,-0.7499002368657895,False,
NGC3521,ok,41,1.0,75.0,2.4,213.7,17.74,5.28,28.0,13.0,True,0.5,0.7,True,"{""nfw_amp"": 5653589.51432918, ""nfw_r_s_kpc"": 30.063865115283278}",0.21774839066160095,0.3469099364251325,0.2183847496160573,True,"{""nfw_outer_amp"": 5700265.8048284, ""nfw_outer_r_s_kpc"": 29.960183587769965}",0.026329529590889668,0.2191539667064357,0.34316626714780146,0.22371225164784236,True,"{""iso_v0_kms"": 172.741672686324, ""iso_r_c_kpc"": 5.435066381122113}",0.5255176782036629,0.6044005203281476,0.34615470775944523,True,"{""log_amp"": 61522.47646112841, ""log_r0_kpc"": 19.14118442740808}",0.21465279125069753,0.34048578165888876,0.21819712963696528,False,True,0.11662478207765245,0.5357142857142857,False,5298736.941053183,0.5,-0.2977540299241562,-0.29855230015717765,0.05274398925731164,True,
NGC3726,ok,12,2.0,53.0,3.4,168.0,32.52,10.2075,4.0,8.0,True,0.5,0.7,True,"{""nfw_amp"": 260301415.65573382, ""nfw_r_s_kpc"": 421.1261444658976}",1.0631623454612888,0.3163623464476538,0.3535919265343858,True,"{""nfw_outer_amp"": 823308818.1326118, ""nfw_outer_r_s_kpc"": 763.8783150092924}",0.9033783644063569,1.0686318395921368,0.31341240652808,0.343278175746361,True,"{""iso_v0_kms"": 143.27377477773913, ""iso_r_c_kpc"": 13.126870248468464}",1.2820203764582276,0.2491963044426006,0.25121425935440406,True,"{""log_amp"": 224653.9774546757, ""log_r0_kpc"": 305.73231123209365}",1.063020685326316,0.31650552953825384,0.3538393667478405,False,True,-0.10478507397788231,0.5,False,2231810.8153502047,0.0,-0.06231940172475381,-0.03512907668693188,-0.9160573404213034,True,
NGC3741,ok,21,1.0,70.0,0.2,50.1,7.0,1.87,8.0,14.0,True,0.5,0.7,True,"{""nfw_amp"": 729990.8947134978, ""nfw_r_s_kpc"": 26.744941174217395}",0.280624338577931,0.12465946982116283,0.09431289079808676,True,"{""nfw_outer_amp"": 571942.0576219052, ""nfw_outer_r_s_kpc"": 23.274399126935727}",0.15438445322543276,0.289115339618155,0.12749237877034397,0.0965806980383171,True,"{""iso_v0_kms"": 51.12150994239246, ""iso_r_c_kpc"": 2.6232066585501097}",0.9441207428924875,0.3136087057068382,0.1773625190397767,True,"{""log_amp"": 9737.841003819618, ""log_r0_kpc"": 19.02997782857627}",0.282942269882058,0.12490294759856932,0.094855974439574,False,False,-0.04582161089775044,0.625,False,-447641.7346896923,0.75,-0.1777645978126887,-0.20022207818340007,-0.09185906594917308,True,
NGC3769,ok,12,2.0,70.0,3.38,118.6,37.16,8.459,4.0,8.0,True,0.5,0.7,True,"{""nfw_amp"": 1008571.4064273124, ""nfw_r_s_kpc"": 18.034293851728208}",0.8218284971206967,0.7306382349187124,0.7626311660613418,True,"{""nfw_outer_amp"": 642970.2241313695, ""nfw_outer_r_s_kpc"": 12.462626459260715}",0.20112385249356146,1.0766077317949352,0.9062295597513504,0.9325076428972175,True,"{""iso_v0_kms"": 109.49515285357245, ""iso_r_c_kpc"": 5.794193584395444}",0.3925619927852014,0.39708109726065116,0.4324848331868954,True,"{""log_amp"": 16056.590019168963, ""log_r0_kpc"": 9.323497260808542}",0.9598158432338059,0.765969454148184,0.8080942314053255,True,False,-1.0382884778577928,0.75,True,2584121.2016360844,0.0,-0.7119505792282336,-0.8461355758984119,-1.1742544236526222,False,
NGC3877,ok,13,2.0,76.0,2.53,168.4,11.35,5.566,6.0,7.0,True,0.5,0.7,True,"{""nfw_amp"": 3304038.4653086294, ""nfw_r_s_kpc"": 33.37900307791373}",6.944786406108642,0.8783330459808825,1.387602785939675,True,"{""nfw_outer_amp"": 147752.08248169112, ""nfw_outer_r_s_kpc"": 3.660061799865807}",0.06520096480957607,10.953110035020682,1.2060002463190609,2.5856376501384926,True,"{""iso_v0_kms"": 107.6645743359499, ""iso_r_c_kpc"": 3.4660743401303447}",5.095355582009072,0.7656528001093621,1.3054767501489608,True,"{""log_amp"": 37943.981701598954, ""log_r0_kpc"": 26.20413258414421}",6.95968946692102,0.8764609834049449,1.3730670357940378,True,False,-0.5062150080567638,0.3333333333333333,False,11378023.754687041,0.16666666666666666,-0.28017004036334875,-1.026303790460911,-0.9486252389400417,True,
NGC3893,ok,10,1.0,49.0,2.38,174.0,19.05,7.2545,4.0,6.0,True,0.5,0.7,True,"{""nfw_amp"": 2148200.077919732, ""nfw_r_s_kpc"": 18.10752291085916}",0.7278484295876801,0.4933527711728156,1.857761628143507,True,"{""nfw_outer_amp"": 926859.7441201253, ""nfw_outer_r_s_kpc"": 9.49533676303214}",0.11379088353064747,1.2122062096195465,0.7163972674857186,2.623152028445667,True,"{""iso_v0_kms"": 153.08089976390855, ""iso_r_c_kpc"": 4.799820976369745}",0.23704561384944417,0.25674052635980454,0.9617497964946938,True,"{""log_amp"": 38345.7335165086, ""log_r0_kpc"": 11.514100628032795}",0.7924365523341038,0.4946996817798491,1.865227781124736,True,False,-0.6041762745994818,1.0,True,121670.56868385867,0.25,-0.6027360652458231,-0.8441296678526822,-1.2422834663723474,True,
NGC3917,ok,17,1.0,79.0,2.63,135.9,14.86,5.7860000000000005,6.0,11.0,True,0.5,0.7,True,"{""nfw_amp"": 25087834.705456924, ""nfw_r_s_kpc"": 97.35485349729079}",4.457054312109054,0.353451757934389,1.395041067142305,True,"{""nfw_outer_amp"": 706194.7769350715, ""nfw_outer_r_s_kpc"": 10.878572195976298}",0.05483294787516993,12.702548502213856,0.614086571173198,2.641958614092366,True,"{""iso_v0_kms"": 123.52870815603403, ""iso_r_c_kpc"": 4.794150635941437}",0.8646817313750975,0.16994408872835032,0.6061688938789556,True,"{""log_amp"": 98319.08418429346, ""log_r0_kpc"": 74.67832583840642}",4.465545998259743,0.3535155871414503,1.3906076467949529,True,False,-0.6315854972598329,0.8333333333333334,True,9779577.93642397,0.0,-0.1299668919979088,-0.6794228625510234,-0.622944406587843,True,
