r,target_delta_g,nfw_full_delta_g,nfw_outer_delta_g,cored_isothermal_full_delta_g,gap_full_delta_g,gap_outer_delta_g,target_speed,nfw_outer_speed,target_slope,nfw_outer_slope,target_density_proxy,nfw_outer_density_proxy,gap_outer_density_proxy
0.3,500.5083272253378,2686.9367172161105,6052.927439485026,375.04480894643376,-2186.4283899907728,-5552.4191122596885,12.253672843992584,42.61312276571042,0.9394841774896872,-0.026887510583804897,-0.0003426623645663775,0.000196126539797803,-0.000538788904364248
0.4812785388127854,771.6928326702946,2672.7273322526275,5947.739590715168,598.8253948142957,-1901.034499582333,-5176.046758044873,19.27172018580227,53.502517879613386,0.892525936892687,-0.0472911591882621,0.007928862395657097,0.026814588732447506,-0.018885726336790407
0.6625570776255708,1021.2841226691435,2658.644248913043,5845.596528076589,818.7120646137206,-1637.3601262438997,-4824.312405407445,26.01267044617032,62.233763767111235,0.8546905398730154,-0.06363777321622521,0.008650164090219927,0.028136465671072298,-0.01948630158085236
0.8438356164383563,1250.7594154668068,2644.685876845109,5746.374500311388,1033.3599328902776,-1393.926461378302,-4495.615084844581,32.48746438807608,69.63472889841614,0.8170618688434033,-0.07974474755517846,0.0081875444179554,0.02392025804031432,-0.015732713622358927
1.0251141552511416,1461.497445480537,2630.8506516688785,5649.956222997099,1241.5332331292777,-1169.3532061883416,-4188.458777516562,38.706610794869164,76.10420553913957,0.7798233197430378,-0.0955440186343246,0.007583779408177581,0.01924531343777412,-0.011661534029596538
1.2063926940639271,1654.7850438567211,2617.1370344549123,5556.230466609245,1442.126588281737,-962.3519905981912,-3901.445422752524,44.68020352633819,81.87182568779566,0.7430429280084994,-0.11101815538818016,0.007103561219987245,0.015977233865015504,-0.008873672645028256
1.3876712328767125,1831.8232748504051,2603.5435112154264,5465.091675452036,1634.1809861328127,-771.7202363650213,-3633.2684006016307,50.417937901345375,87.08473174477133,0.7067515468884196,-0.12616558892288054,0.00669229515990029,0.013568690724156375,-0.006876395564256087
1.568949771689498,1993.7331583656887,2590.0685924073623,5376.439614805621,1816.8941646241324,-596.3354340416736,-3382.7064564399325,55.929126433618016,91.844236107399,0.670964809854695,-0.1409908644441913,0.006325647156406453,0.011723428528888639,-0.005397781372482181
1.7502283105022833,2141.561006899091,2576.710812446953,5290.17904389251,1989.6254527372823,-435.1498055478619,-3148.618036993419,61.22271394623538,96.22380750233579,0.6356910826277229,-0.15550113191401493,0.005991329622017696,0.01026712978403356,-0.004275800162015864
1.9315068493150687,2276.2834031784723,2563.468729236293,5206.219412496142,2151.8954127615657,-287.1853260578205,-2929.9360093176692,66.30729208934288,100.27885347506407,0.6009348479284142,-0.16970466991308086,0.005682458025683274,0.00909054420071709,-0.0034080861750338167
