galaxy,Rdisk_kpc,Vflat_kms,n_points,coverage_fraction,acceleration_scale,iso_beats_nfw_full,log_beats_nfw_full,central_overshoot_after_outer_nfw,inner_gap_mean_norm_after_outer_nfw,nfw_full_relative_rmse,iso_full_relative_rmse
UGC07524,3.46,79.5,31,0.7222222222222222,651.2763570391872,True,False,True,-0.5961684740293428,0.2073405217274172,0.1247769759716852
UGC07577,0.9,0.0,9,0.5833333333333334,48.47572892115234,True,True,True,-0.8952602868720333,0.5598501374516532,0.5264755512215887
UGC07603,0.53,61.6,12,0.7083333333333334,1123.0258452704538,True,False,True,-0.8835608247625956,0.2662192525712057,0.0687118636712555
UGC08286,1.05,82.4,17,0.8194444444444444,1361.554099798245,True,False,False,-0.1325584875068549,0.2785813923916032,0.0906951096940125
UGC08490,0.67,78.6,30,0.7916666666666666,1487.5359991255189,False,False,False,0.0180189475843499,0.0829280304222684,0.1968835029265779
UGC08550,0.45,56.9,11,0.5694444444444444,892.6710711662611,True,False,False,-0.0002579777007357,0.1709304599097834,0.0957971457082182
UGC08699,3.09,182.4,41,1.0,7103.100867028739,False,True,False,-0.3186300855576421,1.038873081963581,0.9835198049045524
UGC08837,1.72,0.0,8,0.5972222222222222,253.95498899039694,True,True,True,-1.2873810925767066,0.5330016036630879,0.1578593528510541
UGC09037,4.28,152.3,22,0.6944444444444444,741.9143365446928,True,True,True,-0.9705508056494944,0.9364093414022396,0.7796689106136094
UGC09133,6.97,226.8,68,1.0,21246.10648262277,True,False,False,0.1272020046848944,0.9781915051412464,0.9957099700262092
UGC11455,5.93,269.4,36,0.9583333333333334,1772.9802914395161,True,True,True,-0.4766698227844458,0.6480989451971971,0.4960658904826969
UGC11557,2.75,0.0,12,0.7777777777777778,385.1129109001011,True,True,True,-1.0449920442298832,1.035814853271365,0.9482865732666792
UGC11820,2.08,0.0,10,0.9722222222222222,841.8548245253443,False,True,False,0.3326460918261493,0.4193628229041022,0.8186838362626578
UGC11914,2.44,288.1,65,0.7916666666666666,10967.738400457198,True,True,False,0.4446931990958999,0.5508301769160996,0.3978650453298917
UGC12506,7.38,234.0,31,0.9444444444444444,3864.4596278125027,False,False,False,-0.003607687732789,0.2109918982998805,0.4184156622197306
UGC12632,2.42,71.7,15,0.7638888888888888,633.8492970123023,True,False,True,-0.3264395644576321,0.2083345680101112,0.1081916185473185
UGC12732,1.98,0.0,16,0.7916666666666666,740.4733758440052,False,True,False,0.0736501845556965,0.0645159322994661,0.1628014095571013
UGCA442,1.18,56.4,8,0.7638888888888888,550.9595498194803,True,False,True,-0.702538245839025,0.1744362186145763,0.1441997762932075
UGCA444,0.83,37.0,36,0.7222222222222222,420.6169321201258,False,True,False,-0.0493802957706394,0.1049221703924028,0.2118245673487737
