R_over_Rdisk,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6
0.25,1.0,0.19593188869804326,0.01172081682695661,0.04903797755115228,0.006774765913235734,0.06335107072681449
0.262506042179075,0.9864043186139009,0.21534999017061388,0.012088784463606003,0.04788157978518632,0.007055817910291954,0.06898759288388749
0.2756376887220892,0.9664904058736993,0.24497885461687252,0.012592704158832436,0.04571520899764909,0.0074952306551291205,0.07691694977421015
0.289426234967294,0.9393141315138045,0.28619462418215286,0.013234911938642731,0.042665149842128554,0.008169890063806425,0.08736047142025291
0.30390454177622145,0.9080911536040555,0.3359420667833837,0.013902104022581649,0.03885237742155093,0.009055045504777726,0.09877692105675907
0.319107113847685,0.872693309702628,0.3933494562569386,0.014568415224360979,0.0346377866762228,0.010299194834376784,0.11096406337704029
0.33507018194937316,0.8353757020152333,0.45616211498634235,0.015235019005053366,0.03053066385046254,0.012059639780583201,0.12440799915439874
0.35183178926300995,0.7947584370223165,0.5225738376812729,0.015820679138633952,0.026956514722740882,0.014511835479575765,0.13975885021085716
0.36943188204886046,0.752286536041365,0.5904900038140963,0.016287733735044718,0.023970148800205197,0.017864012084732213,0.15780133813737432
0.3879124048456529,0.707877675712606,0.6585317828189802,0.016629369863900848,0.021756325053565593,0.022336484314748738,0.1801935065055208
0.40731740043279757,0.6624406747951637,0.7238476632583719,0.016834898882065467,0.02028551568756332,0.028042482812923934,0.20795484373745615
0.4276931147931326,0.6177664123454178,0.7847465041137638,0.016859948028052622,0.019609696337772146,0.03532110053420135,0.24373934197435537
0.4490881073263442,0.5746861506524961,0.8402381979621459,0.01676825471873936,0.01978163477952744,0.04458185990408004,0.28497428193168256
0.4715533665757211,0.5340045595943373,0.8897914546341673,0.01658689652085676,0.020872941210498045,0.0567683031474859,0.33241015562615533
0.49514243174404426,0.4963525446202754,0.9309399016524671,0.016355944741672238,0.02293866716452572,0.07273488861891715,0.38451557230102684
0.5199115202882074,0.46225427482814563,0.9635277331621601,0.01608418596284588,0.026032398799113166,0.09330464847506942,0.44268506853522877
0.5459196618966528,0.43077024753777465,0.9857230943879671,0.01582439507951244,0.03014342509344201,0.1179660137565659,0.5059029239051
0.5732288391689164,0.4016598026451803,0.99796335177328,0.01561437473705185,0.03528715925374624,0.1467211767221773,0.5757928483959746
0.601904135332551,0.3738288927262815,1.0,0.015467620439221747,0.04140171133870233,0.17952155220732918,0.6505309578836266
0.6320138893494653,0.34645367651612163,0.9936490972757237,0.015469147984169509,0.048589509152966406,0.21686591538241748,0.7274862562617633
0.663629858781328,0.31932482797359873,0.9802405183971519,0.015780118704839585,0.05687401060653432,0.2585611548427743,0.8017398841506582
0.6968273908021795,0.29280055342510647,0.9620835794628039,0.01656501678382085,0.06657288702262827,0.3080481584325658,0.8689723194132093
0.7316856017658069,0.2676181818279381,0.940472119903448,0.017969615368348006,0.07792488634389216,0.3659552301229519,0.9266814961373491
0.7682875657558271,0.2439815223987856,0.9169958536736665,0.019912859272826173,0.09118167679986489,0.429847294840081,0.9686379535049626
0.8067205125678322,0.2223957555782742,0.8938809105034441,0.02235534532862093,0.10649232004855394,0.4972990137828667,0.9929698827319505
0.8470760355954254,0.20300696794879133,0.8727802181211751,0.02527295360300574,0.12406511443946602,0.5665848836855693,1.0
0.8894503101155856,0.1860095941822543,0.854933778758986,0.02856220420867703,0.14352215775786703,0.632581499207648,0.9885616701824731
0.9339443224935731,0.17101247759581376,0.8396288116127247,0.03224661416359485,0.1648411587992494,0.6935429402099345,0.9598913369385903
0.980664110853622,0.15793755908864857,0.8271021818411588,0.03676080599157834,0.18875652032751522,0.7501183638913942,0.9200880530912462
1.029721017788984,0.14647333410258545,0.8154870532866416,0.042535392685158456,0.21626862913372122,0.8026637564887099,0.872882134642741
1.0812319557135803,0.13646257619166818,0.8019363776407292,0.04976610296748108,0.24845458722682534,0.851899307244481,0.8223095333632888
1.1353196854876515,0.12741191104448235,0.7848681879437581,0.058508017016509956,0.28634186421823354,0.8974124133178624,0.77210714863786
1.1921131089814225,0.119661891608771,0.763853696773374,0.06826305802801913,0.3303572611207388,0.9368710779396157,0.7240227978235032
1.2517475762740222,0.11305674752975006,0.7383862149496782,0.07874170824961821,0.3796175232051971,0.9684226831451458,0.6803511530908635
1.3143652082197737,0.1076259450172516,0.7090275998501345,0.0897421548507699,0.43240748107827315,0.9901416479166003,0.6437995306513088
1.3801152351505943,0.1032730506623727,0.6774227151222829,0.10158337492372742,0.48760679453201894,1.0,0.613105290403762
1.4491543525217039,0.10012989824629831,0.6446887131301331,0.11469064651605893,0.5440524815282403,0.9980969107293698,0.5887173581007411
1.52164709434821,0.09756347772733752,0.6113651664305915,0.13000389555546388,0.6007455783173731,0.9852846705832649,0.5700041228208828
1.5977662253225526,0.0953475808698646,0.5777044206185098,0.1473117318948366,0.65696126534672,0.9627293069946115,0.5550304821887123
1.677693152547294,0.0931804964679363,0.5444287011311792,0.1684205709147311,0.7123123980108077,0.932989368038788,0.5434842778365461
1.761618357864501,0.09076803335982364,0.5114680506958732,0.1915462781757986,0.7655936798050829,0.8966741546347768,0.535156861617458
1.8497418518120463,0.08798645870033912,0.4796561735353907,0.21820803076011203,0.8157512732384922,0.8551295759148315,0.5279054575497126
1.9422736502886935,0.08481412085851338,0.449803374563817,0.24833854628158714,0.8623219193444027,0.8098589481333898,0.5223760400971522
2.039434275063959,0.08120634613567615,0.4226909306797736,0.28372167954844485,0.9042537017213274,0.7629196621218849,0.5182545205396981
2.1414552793255637,0.0771194978102808,0.3974432078890106,0.32254289659633095,0.9399913878177549,0.7141632853487413,0.513413746098813
2.248579799516957,0.07271329286751023,0.37533445015137157,0.36475394900457914,0.9689548000903015,0.6658081816467822,0.5068158159752097
2.3610631347800575,0.06809916519601351,0.35663145336663565,0.4103554583847312,0.9896729548070268,0.6202220528952415,0.499417486524034
2.4791733553841313,0.06337610672536408,0.3404689454925169,0.45721727340213736,1.0,0.5771561023792748,0.49057779642407484
2.6031919415908233,0.058767616769658124,0.3263976591217819,0.5045188189067985,0.999746813456818,0.5369343790208179,0.4804740964291402
2.7334144544778747,0.05451041028060802,0.3144732855184093,0.5524029596144164,0.9908858874623742,0.5005802416961705,0.46979133756995184
2.87015124032025,0.05071389056160821,0.30412261401128443,0.6023952398281085,0.9748768667810527,0.46871774191617627,0.4598053072971131
3.0137281702073273,0.04742401745713694,0.2942544701866202,0.6516791300556833,0.9528580675378143,0.43979705084952087,0.4494709460175124
3.1644874166588455,0.044784071621675886,0.284806838757742,0.7015688297553715,0.9271107536189138,0.41459973699644964,0.43810583229112937
3.3227882690903954,0.04275094255105679,0.2753195817087848,0.7518885774856161,0.8989716406444987,0.3921882308025044,0.425427403422723
3.489007990071917,0.04124986658418799,0.26523598363447926,0.7995403085224165,0.8692122341207248,0.3718311162931863,0.4106416895475145
3.6635427144197923,0.040164155130566585,0.2537593378566811,0.8429129853500625,0.8379630165571659,0.3524112227640683,0.3931721898488841
3.846808393265301,0.03943825959312782,0.24089277615160257,0.8807561976289866,0.8052074794672425,0.33418111911508297,0.3740608621127029
4.039241785349282,0.03902205751185001,0.22727683219260156,0.9126604325974274,0.7723968240364317,0.3177420425367085,0.3568292856098782
4.241301497905525,0.038847498667776655,0.21314548383115708,0.9366750362272797,0.7393250391909749,0.3030381404908638,0.3435491918504241
4.453469079613446,0.03884318139919968,0.1990463448287567,0.9556381802500039,0.7063465876452188,0.29055941300877286,0.337259696099084
4.676250168224856,0.038881924935247676,0.18531850699495478,0.9704292427115354,0.672615116241407,0.2799143046806277,0.3376893785913758
4.910175695599761,0.03878337400100133,0.17215707417917075,0.9831433458692472,0.6404282364387518,0.27122184434882896,0.34547453814246487
5.155803153023121,0.03836637725351726,0.15928161093704796,0.9926667520210795,0.6091193320267286,0.26372456411651407,0.3581724891685057
5.41371791981798,0.03753564923421258,0.14671348337786988,0.9991089878968978,0.5786254458783389,0.2569845269251616,0.3760510515968423
