galaxy,coef_mode_1,coef_mode_2,coef_mode_3,coef_mode_4,coef_mode_5,coef_mode_6,Rdisk_kpc,Vflat_kms,n_points,coverage_fraction,acceleration_scale,iso_beats_nfw_full,log_beats_nfw_full,central_overshoot_after_outer_nfw,inner_gap_mean_norm_after_outer_nfw,nfw_full_relative_rmse,iso_full_relative_rmse
CamB,0.11242731211837545,1e-12,0.002633050614807078,0.5725942738208871,0.4150758716480312,1e-12,0.47,0.0,9,0.6805555555555556,77.2784502522029,True,False,True,-1.635133134136564,1.000000000039757,0.9842923845481012
D631-7,1.2750510066155907,1e-12,5.5441781266411265e-08,4.6577536058143286e-08,0.5194722353763263,1e-12,0.7,57.7,16,0.7222222222222222,417.0874290352199,True,True,True,-1.5157153098156655,0.4767535444067078,0.1624360045981773
DDO064,0.7702933495693494,1e-12,0.1063893074702829,0.6867713482629485,0.003871975223380594,6.642594639083847e-10,0.69,46.1,14,0.8194444444444444,649.1999963357367,True,True,True,-2.171423676418913,0.2895714849237076,0.2584068283909079
DDO154,18.252970151168007,1e-12,1e-12,1e-12,0.18872545898664775,1e-12,0.37,47.0,12,0.5138888888888888,429.53188063063055,True,False,True,-0.7321401752088511,0.2367742132854574,0.0450850191762189
DDO161,0.3568263353122892,1e-12,1.6751670922572227e-10,1.0045470064848986e-12,0.354939331321243,1e-12,1.22,66.3,31,0.8055555555555556,283.3412757201646,True,False,True,-0.8568804568728785,0.2709019806260007,0.180474210446668
DDO168,0.977309971224066,1e-12,0.010662770729845918,0.6959375114255838,0.033446070712678855,1e-12,1.02,53.4,10,0.6527777777777778,566.9456128640777,True,True,True,-2.600276377730346,0.4003272733980779,0.1958907928396152
DDO170,7.904403606187448e-06,1e-12,0.36816692075154517,0.10315129504763655,1e-12,1e-12,1.95,60.0,8,0.5416666666666666,331.684971868813,True,False,False,-0.1916167543280209,0.2105367769836831,0.0682682711863752
ESO079-G014,0.26013051720889124,1e-12,0.28722104171326596,2.40628129697247e-05,1e-12,1e-12,5.08,175.0,15,0.7361111111111112,1532.2896669161676,True,False,True,-0.6434897668122944,0.2902558728364813,0.3260791539679943
ESO116-G012,0.15044781424741396,1e-12,0.1244853540696976,0.19634425154056961,0.04654549260825754,1e-12,1.51,109.1,15,0.9305555555555556,1381.018826768874,True,False,True,-0.6797263066165374,0.2010972603477228,0.2022567828107298
ESO563-G021,0.6954166525977944,1e-12,0.23355548907179943,1e-12,1e-12,0.02371511536368944,5.45,314.6,30,0.9861111111111112,3481.8952940869826,True,False,False,-0.7757510425460835,0.6641604690216942,0.4311172843349894
F568-3,0.15512749760467817,1e-12,1e-12,1e-12,1.4750464015863826e-12,0.1309373439405264,4.99,0.0,18,0.7638888888888888,840.5027967096203,True,True,False,0.0564520938542622,0.4331172213354495,0.2202421319589017
F568-V1,0.4121560305556328,1e-12,0.09431207596208985,7.436109902475072e-10,1e-12,0.010673368218072557,2.85,112.3,15,0.9166666666666666,1664.1943341870858,True,False,True,-0.4478010710545007,0.5052343839264967,0.0722158414700284
F571-8,0.6478192755196212,1e-12,0.2971661524863666,0.15349104723748527,1e-12,1e-12,3.56,139.7,13,0.8194444444444444,1672.8176940731032,True,True,True,-1.4514406791706274,1.1132837989861752,0.8159366417780421
F574-1,0.56049469536895,1e-12,0.03327022053527847,0.01515954233088849,5.216250560484391e-10,2.1161239186986398e-12,4.46,97.8,14,0.6944444444444444,983.677814534313,True,False,True,-0.651930197521813,0.3222281497895203,0.0626731560890878
F583-1,0.48550853599031446,1e-12,0.16750851722230312,0.15554198900721308,3.31684975177766e-05,1e-12,2.36,85.8,25,0.9444444444444444,721.5980637636083,True,False,True,-0.9832325573559194,0.3844240920324252,0.2245113831973204
F583-4,0.019087486128476393,0.015519923946833263,1e-12,1e-12,0.01047127611741417,0.04681769360416322,1.93,0.0,12,0.7777777777777778,588.8303189811917,False,True,False,0.0134613857680155,0.1664459905740594,0.2061846882797526
IC2574,0.11781104518264857,1e-12,0.17563272296000154,8.041078420500803e-05,0.09546336411236968,1e-12,2.78,66.4,34,0.7083333333333334,273.1022297557992,True,True,True,-0.477876474988598,0.3767628386485591,0.1372712507834435
IC4202,1.0377806083958685,1e-12,1e-12,1e-12,1e-12,0.04881027028994736,4.78,242.6,32,0.8888888888888888,3979.067176437043,True,True,False,-0.4961145604516455,0.9676031153468446,0.8894781656842603
KK98-251,0.4120672071878179,1e-12,0.2008994961378086,0.14441925555057325,1e-12,0.0015993506807733635,1.34,33.7,15,0.6388888888888888,213.95607745076484,True,True,True,-1.610191386313168,0.4102883467304865,0.1359278684382929
NGC0024,0.28228960420956384,1e-12,1e-12,1e-12,1e-12,0.007988874475300962,1.34,106.3,29,1.0,3580.62899103139,True,False,True,-0.2670392258719555,0.3340210223859662,0.1080713904427786
NGC0055,0.4115339186852948,1e-12,0.10756461344421826,1e-12,1e-12,0.0002731497927445508,6.11,85.6,21,0.625,479.0613858695653,True,True,True,-0.5135297252575544,0.2219661619636956,0.0725047744059388
NGC0100,0.3241679758795005,1e-12,0.09318639901382114,0.16714445956643464,0.008306847000696933,5.459161945638228e-12,1.66,88.1,21,0.9027777777777778,765.6968796992479,True,True,True,-0.8724116928758939,0.3238578947500301,0.061004825856757
NGC0247,1e-12,0.030323986364034546,1e-12,1e-12,0.012565420592056903,0.04989406237756431,3.74,104.9,26,0.75,838.1642590527624,False,False,False,0.0689511049583253,0.1239726684393343,0.1707855523745081
NGC0289,1e-12,0.5837908027140684,0.01036455042963391,1e-12,0.0029909591171746234,0.05669064201816275,6.74,163.0,28,1.0,1899.112208379829,False,True,False,0.3936738634834794,0.5916294837401356,0.7626407080748212
