target,mode,feature,association_type,correlation,mean_true,mean_false,standardized_difference
signed_nfw_residual_of_residual,1,iso_full_relative_rmse,pearson,-0.06628281678437425,,,
signed_nfw_residual_of_residual,1,Vflat_kms,pearson,-0.07001117475681773,,,
signed_nfw_residual_of_residual,1,Rdisk_kpc,pearson,-0.12750270162165828,,,
signed_nfw_residual_of_residual,2,central_overshoot_after_outer_nfw,binary_mean_difference,-0.20284040596569738,1.0193248351904695e-05,0.17775626817235812,-0.40597663137300755
signed_nfw_residual_of_residual,2,iso_beats_nfw_full,binary_mean_difference,-0.13812829237757365,0.055397564222307884,0.20702283816939102,-0.34631604649702746
signed_nfw_residual_of_residual,2,log_beats_nfw_full,binary_mean_difference,0.2033215004732897,0.19013354191027385,0.009763068824755706,0.41197082463689627
signed_nfw_residual_of_residual,2,inner_gap_mean_norm_after_outer_nfw,pearson,0.22756263840829474,,,
signed_nfw_residual_of_residual,2,nfw_full_relative_rmse,pearson,-0.0882408372720937,,,
signed_nfw_residual_of_residual,2,iso_full_relative_rmse,pearson,-0.050380781096382984,,,
signed_nfw_residual_of_residual,2,Vflat_kms,pearson,0.16078086159845992,,,
signed_nfw_residual_of_residual,2,Rdisk_kpc,pearson,0.10773573497739232,,,
signed_nfw_residual_of_residual,3,central_overshoot_after_outer_nfw,binary_mean_difference,-0.0355871066235269,0.10043998964730962,0.1163945564626273,-0.07122611295589082
signed_nfw_residual_of_residual,3,iso_beats_nfw_full,binary_mean_difference,-0.14829002929242446,0.09158367598806609,0.17486501440060123,-0.37179361154412427
signed_nfw_residual_of_residual,3,log_beats_nfw_full,binary_mean_difference,0.0018138866920730785,0.1085904153513999,0.10776715143204706,0.0036753043558687064
signed_nfw_residual_of_residual,3,inner_gap_mean_norm_after_outer_nfw,pearson,-0.023393800461389752,,,
signed_nfw_residual_of_residual,3,nfw_full_relative_rmse,pearson,-0.07706151717242102,,,
signed_nfw_residual_of_residual,3,iso_full_relative_rmse,pearson,-0.09789994061208335,,,
signed_nfw_residual_of_residual,3,Vflat_kms,pearson,-0.022071662216958568,,,
signed_nfw_residual_of_residual,3,Rdisk_kpc,pearson,-0.12460818190737889,,,
signed_nfw_residual_of_residual,4,central_overshoot_after_outer_nfw,binary_mean_difference,0.4127589344168165,0.18483591427385648,0.025654008141721116,0.8261198303457815
signed_nfw_residual_of_residual,4,iso_beats_nfw_full,binary_mean_difference,0.21751834448810184,0.12913914638048077,0.024055165907699624,0.5453632402678456
signed_nfw_residual_of_residual,4,log_beats_nfw_full,binary_mean_difference,0.0973666796095094,0.13033673787878616,0.09232268552917673,0.19728474951007752
signed_nfw_residual_of_residual,4,inner_gap_mean_norm_after_outer_nfw,pearson,-0.5916003154016173,,,
signed_nfw_residual_of_residual,4,nfw_full_relative_rmse,pearson,0.17700404651694734,,,
signed_nfw_residual_of_residual,4,iso_full_relative_rmse,pearson,0.09972163223516174,,,
signed_nfw_residual_of_residual,4,Vflat_kms,pearson,-0.14797646053538438,,,
signed_nfw_residual_of_residual,4,Rdisk_kpc,pearson,-0.2452400818169401,,,
signed_nfw_residual_of_residual,5,central_overshoot_after_outer_nfw,binary_mean_difference,0.21916112138725216,0.07311992068115875,0.01968342238903699,0.4386418641055866
signed_nfw_residual_of_residual,5,iso_beats_nfw_full,binary_mean_difference,0.07199331095207548,0.051785726792046946,0.029796496294738264,0.180502041935052
signed_nfw_residual_of_residual,5,log_beats_nfw_full,binary_mean_difference,-0.0664297400826567,0.03790848663931434,0.05430583489033994,-0.13460020085707525
signed_nfw_residual_of_residual,5,inner_gap_mean_norm_after_outer_nfw,pearson,-0.2668954369959624,,,
signed_nfw_residual_of_residual,5,nfw_full_relative_rmse,pearson,0.12523153056920733,,,
signed_nfw_residual_of_residual,5,iso_full_relative_rmse,pearson,0.05176945536734933,,,
signed_nfw_residual_of_residual,5,Vflat_kms,pearson,-0.09201652370988615,,,
signed_nfw_residual_of_residual,5,Rdisk_kpc,pearson,-0.21810568124439025,,,
signed_nfw_residual_of_residual,6,central_overshoot_after_outer_nfw,binary_mean_difference,-0.3712128640011755,0.001447107148891025,0.04865870532153871,-0.7429670993411904
signed_nfw_residual_of_residual,6,iso_beats_nfw_full,binary_mean_difference,-0.03325095376397359,0.023100503916336765,0.028398031160237196,-0.08336698189475641
signed_nfw_residual_of_residual,6,log_beats_nfw_full,binary_mean_difference,0.18220296389728458,0.03776198055483599,0.014302536721915112,0.3691803626931812
signed_nfw_residual_of_residual,6,inner_gap_mean_norm_after_outer_nfw,pearson,0.31837666737182324,,,
signed_nfw_residual_of_residual,6,nfw_full_relative_rmse,pearson,-0.13026911429424382,,,
signed_nfw_residual_of_residual,6,iso_full_relative_rmse,pearson,0.09290245743882405,,,
signed_nfw_residual_of_residual,6,Vflat_kms,pearson,0.1633058879171537,,,
signed_nfw_residual_of_residual,6,Rdisk_kpc,pearson,0.07188105542860733,,,
